TaxaName,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Gordonia polyisoprenivorans,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;Gordonia,4,0.00801507,0.18018
Granulibacter bethesdensis,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Granulibacter,1,0.00200377,0.045045
Haliscomenobacter hydrossis,Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Haliscomenobacter,1,0.00200377,0.045045
Helicobacter felis,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter,1,0.00200377,0.045045
Heliobacterium modesticaldum,Bacteria;Firmicutes;Clostridia;Clostridiales;Heliobacteriaceae;Heliobacterium,1,0.00200377,0.045045
Herbaspirillum seropedicae,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum,9,0.0180339,0.405405
Herminiimonas arsenicoxydans,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas,3,0.0060113,0.135135
Histophilus somni,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Histophilus,1,0.00200377,0.045045
Isoptericola variabilis,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Isoptericola,1,0.00200377,0.045045
Janthinobacterium sp. Marseille,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium,1,0.00200377,0.045045
Kitasatospora setae,Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Kitasatospora,1,0.00200377,0.045045
Klebsiella sp. 1_1_55,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella,1,0.00200377,0.045045
Klebsiella variicola,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella,1,0.00200377,0.045045
Kocuria rhizophila,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria,1,0.00200377,0.045045
Kryptoperidinium foliaceum,Eukaryota;;Dinophyceae;Peridiniales;Peridiniaceae;Kryptoperidinium,1,0.00200377,0.045045
Kytococcus sedentarius,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Kytococcus,5,0.0100188,0.225225
Lactobacillus delbrueckii,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,1,0.00200377,0.045045
Lactobacillus gasseri,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,1,0.00200377,0.045045
Lactobacillus reuteri,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,1,0.00200377,0.045045
Lactococcus lactis,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus,2,0.00400753,0.0900901
Legionella longbeachae,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella,1,0.00200377,0.045045
Leifsonia xyli,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Leifsonia,1,0.00200377,0.045045
Leptothrix cholodnii,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;Leptothrix,7,0.0140264,0.315315
Listeria monocytogenes,Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria,1,0.00200377,0.045045
Luminiphilus syltensis,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;Luminiphilus,1,0.00200377,0.045045
Magnetospirillum gryphiswaldense,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum,1,0.00200377,0.045045
Mannheimia haemolytica,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia,1,0.00200377,0.045045
Marinobacter sp. BSs20148,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter,1,0.00200377,0.045045
Marinomonas sp. MWYL1,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas,1,0.00200377,0.045045
Meiothermus ruber,Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Meiothermus,4,0.00801507,0.18018
Mesorhizobium opportunistum,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium,1,0.00200377,0.045045
Methylibium petroleiphilum,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;Methylibium,3,0.0060113,0.135135
Methylobacterium extorquens,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium,5,0.0100188,0.225225
Methylobacterium populi,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium,1,0.00200377,0.045045
Methylobacterium radiotolerans,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium,2,0.00400753,0.0900901
Methylobacterium sp. 4-46,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium,2,0.00400753,0.0900901
Methylococcus capsulatus,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylococcus,3,0.0060113,0.135135
Methylotenera mobilis,Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylotenera,2,0.00400753,0.0900901
Methylovorus sp. MP688,Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylovorus,1,0.00200377,0.045045
Micrococcus luteus,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus,26,0.0520979,1.17117
Microlunatus phosphovorus,Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Microlunatus,1,0.00200377,0.045045
Micromonas sp. RCC299,Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas,1,0.00200377,0.045045
Micromonospora sp. ATCC 39149,Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora,1,0.00200377,0.045045
Mobiluncus curtisii,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus,1,0.00200377,0.045045
Modestobacter marinus,Bacteria;Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter,1,0.00200377,0.045045
Mycobacterium chubuense,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium,2,0.00400753,0.0900901
Mycobacterium gilvum,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium,2,0.00400753,0.0900901
Mycobacterium intracellulare,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium,3,0.0060113,0.135135
Mycobacterium smegmatis,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium,2,0.00400753,0.0900901
Mycobacterium sp. JLS,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium,1,0.00200377,0.045045
Mycobacterium sp. JS623,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium,1,0.00200377,0.045045
Mycobacterium tuberculosis,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium,2,0.00400753,0.0900901
Mycoplasma genitalium,Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma,1,0.00200377,0.045045
Myxococcus stipitatus,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Myxococcus,1,0.00200377,0.045045
Myxococcus xanthus,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Myxococcus,1,0.00200377,0.045045
Nakamurella multipartita,Bacteria;Actinobacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella,4,0.00801507,0.18018
Nautilia profundicola,Bacteria;Proteobacteria;Epsilonproteobacteria;Nautiliales;Nautiliaceae;Nautilia,2,0.00400753,0.0900901
Neisseria elongata,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria,1,0.00200377,0.045045
Neisseria flavescens,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria,2,0.00400753,0.0900901
Neisseria gonorrhoeae,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria,1,0.00200377,0.045045
Neisseria lactamica,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria,1,0.00200377,0.045045
Neisseria meningitidis,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria,3,0.0060113,0.135135
Neisseria polysaccharea,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria,1,0.00200377,0.045045
Neisseria subflava,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria,2,0.00400753,0.0900901
Nitrobacter hamburgensis,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Nitrobacter,1,0.00200377,0.045045
Nitrosospira multiformis,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira,1,0.00200377,0.045045
Nitrospira defluvii,Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira,1,0.00200377,0.045045
Nocardia brasiliensis,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia,1,0.00200377,0.045045
Nocardioides sp. JS614,Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides,1,0.00200377,0.045045
Nocardiopsis alba,Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Nocardiopsaceae;Nocardiopsis,2,0.00400753,0.0900901
Novosphingobium aromaticivorans,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium,2,0.00400753,0.0900901
Novosphingobium sp. PP1Y,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium,3,0.0060113,0.135135
Ochrobactrum intermedium,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Ochrobactrum,1,0.00200377,0.045045
Ostreococcus 'lucimarinus',Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus,1,0.00200377,0.045045
Owenweeksia hongkongensis,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia,1,0.00200377,0.045045
Pandoraea sp. RB-44,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea,1,0.00200377,0.045045
Pantoea ananatis,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pantoea,1,0.00200377,0.045045
Pantoea vagans,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pantoea,1,0.00200377,0.045045
Parabacteroides sp. 20_3,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides,1,0.00200377,0.045045
Paracoccus aminophilus,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus,1,0.00200377,0.045045
Paracoccus denitrificans,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus,3,0.0060113,0.135135
Parvibaculum lavamentivorans,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Parvibaculum,4,0.00801507,0.18018
Pasteurella multocida,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella,1,0.00200377,0.045045
Phaeobacter gallaeciensis,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Phaeobacter,2,0.00400753,0.0900901
Phaeodactylum tricornutum,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Phaeodactylaceae;Phaeodactylum,1,0.00200377,0.045045
Phenylobacterium zucineum,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium,2,0.00400753,0.0900901
Plasmodium falciparum,Eukaryota;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium,32,0.0641205,1.44144
Plasmodium knowlesi,Eukaryota;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium,20,0.0400753,0.900901
Plasmodium vivax,Eukaryota;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium,13,0.026049,0.585586
Plesiocystis pacifica,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystaceae;Plesiocystis,2,0.00400753,0.0900901
Polaromonas naphthalenivorans,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas,6,0.0120226,0.27027
Polynucleobacter necessarius,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter,7,0.0140264,0.315315
Porphyromonas gingivalis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas,1,0.00200377,0.045045
Prevotella bryantii,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella,1,0.00200377,0.045045
Prevotella dentalis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella,1,0.00200377,0.045045
Prevotella sp. oral taxon 299,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella,1,0.00200377,0.045045
Propionibacterium acidipropionici,Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium,1,0.00200377,0.045045
Propionibacterium acnes,Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium,382,0.765439,17.2072
Propionibacterium avidum,Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium,1,0.00200377,0.045045
Pseudogulbenkiania ferrooxidans,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Pseudogulbenkiania,1,0.00200377,0.045045
Pseudogulbenkiania sp. NH8B,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Pseudogulbenkiania,1,0.00200377,0.045045
Pseudomonas aeruginosa,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,17,0.034064,0.765766
Pseudomonas amygdali,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,1,0.00200377,0.045045
Pseudomonas brassicacearum,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,2,0.00400753,0.0900901
Pseudomonas entomophila,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,1,0.00200377,0.045045
Pseudomonas fluorescens,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,17,0.034064,0.765766
Pseudomonas mendocina,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,5,0.0100188,0.225225
Pseudomonas monteilii,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,3,0.0060113,0.135135
Pseudomonas poae,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,6,0.0120226,0.27027
Pseudomonas protegens,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,5,0.0100188,0.225225
Pseudomonas putida,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,11,0.0220414,0.495495
Pseudomonas resinovorans,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,3,0.0060113,0.135135
Pseudomonas sp. TKP,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,10,0.0200377,0.45045
Pseudomonas sp. VLB120,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,2,0.00400753,0.0900901
Pseudomonas stutzeri,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,23,0.0460866,1.03604
Pseudomonas syringae,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,4,0.00801507,0.18018
Pseudomonas syringae group genomosp. 3,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,6,0.0120226,0.27027
Pseudopedobacter saltans,Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pseudopedobacter,1,0.00200377,0.045045
Pseudoxanthomonas spadix,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas,1,0.00200377,0.045045
Pseudoxanthomonas suwonensis,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas,2,0.00400753,0.0900901
Psychrobacter cryohalolentis,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter,1,0.00200377,0.045045
Ralstonia mannitolilytica,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia,15,0.0300565,0.675676
Ralstonia pickettii,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia,15,0.0300565,0.675676
Ralstonia solanacearum,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia,14,0.0280527,0.630631
Ramlibacter tataouinensis,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter,6,0.0120226,0.27027
Raphidiopsis brookii,Bacteria;Cyanobacteria;;Nostocales;Nostocaceae;Raphidiopsis,2,0.00400753,0.0900901
Rhizobium etli,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium,2,0.00400753,0.0900901
Rhizobium leguminosarum,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium,1,0.00200377,0.045045
Rhodanobacter denitrificans,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter,15,0.0300565,0.675676
Rhodobacter capsulatus,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter,2,0.00400753,0.0900901
Rhodobacter sp. SW2,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter,1,0.00200377,0.045045
Rhodobacter sphaeroides,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter,4,0.00801507,0.18018
Rhodobacteraceae bacterium KLH11,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;,1,0.00200377,0.045045
Rhodobacterales bacterium Y4I,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;;,1,0.00200377,0.045045
Rhodococcus erythropolis,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus,3,0.0060113,0.135135
Rhodococcus opacus,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus,1,0.00200377,0.045045
Rhodomicrobium vannielii,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodomicrobium,1,0.00200377,0.045045
Rhodopseudomonas palustris,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodopseudomonas,9,0.0180339,0.405405
Riemerella anatipestifer,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Riemerella,1,0.00200377,0.045045
Robiginitalea biformata,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Robiginitalea,1,0.00200377,0.045045
Roseobacter denitrificans,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter,2,0.00400753,0.0900901
Roseobacter sp. AzwK-3b,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter,1,0.00200377,0.045045
Rothia dentocariosa,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia,3,0.0060113,0.135135
Rubrivivax gelatinosus,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;Rubrivivax,7,0.0140264,0.315315
Ruegeria pomeroyi,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ruegeria,1,0.00200377,0.045045
Ruminococcus champanellensis,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus,1,0.00200377,0.045045
Saccharomyces cerevisiae,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces,1,0.00200377,0.045045
Saccharophagus degradans,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Saccharophagus,1,0.00200377,0.045045
Sanguibacter keddieii,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Sanguibacteraceae;Sanguibacter,1,0.00200377,0.045045
Schizosaccharomyces pombe,Eukaryota;Ascomycota;Schizosaccharomycetes;Schizosaccharomycetales;Schizosaccharomycetaceae;Schizosaccharomyces,1,0.00200377,0.045045
Selenomonas sp. oral taxon 149,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas,2,0.00400753,0.0900901
Selenomonas sputigena,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas,1,0.00200377,0.045045
Serratia marcescens,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia,1,0.00200377,0.045045
Serratia proteamaculans,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia,1,0.00200377,0.045045
Shewanella baltica,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella,2,0.00400753,0.0900901
Shewanella putrefaciens,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella,1,0.00200377,0.045045
Shigella boydii,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Shigella,1,0.00200377,0.045045
Shigella flexneri,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Shigella,6,0.0120226,0.27027
Shigella sonnei,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Shigella,1,0.00200377,0.045045
Sideroxydans lithotrophicus,Bacteria;Proteobacteria;Betaproteobacteria;Gallionellales;Gallionellaceae;Sideroxydans,2,0.00400753,0.0900901
Sinorhizobium fredii,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Sinorhizobium,3,0.0060113,0.135135
Sinorhizobium meliloti,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Sinorhizobium,2,0.00400753,0.0900901
Sphingobium chlorophenolicum,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium,3,0.0060113,0.135135
Sphingobium japonicum,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium,2,0.00400753,0.0900901
Sphingobium sp. SYK-6,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium,2,0.00400753,0.0900901
Sphingomonas sp. MM-1,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas,3,0.0060113,0.135135
Sphingomonas wittichii,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas,5,0.0100188,0.225225
Sphingopyxis alaskensis,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis,2,0.00400753,0.0900901
Spodoptera litura nucleopolyhedrovirus,;;;;Baculoviridae;Alphabaculovirus,2,0.00400753,0.0900901
Staphylococcus aureus,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,2,0.00400753,0.0900901
Staphylococcus capitis,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,1,0.00200377,0.045045
Staphylococcus epidermidis,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,64,0.128241,2.88288
Staphylococcus haemolyticus,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,7,0.0140264,0.315315
Staphylococcus hominis,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,2,0.00400753,0.0900901
Staphylococcus lugdunensis,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,2,0.00400753,0.0900901
Staphylococcus pasteuri,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,1,0.00200377,0.045045
Staphylococcus pseudintermedius,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,1,0.00200377,0.045045
Staphylococcus saprophyticus,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,1,0.00200377,0.045045
Staphylococcus warneri,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,3,0.0060113,0.135135
Stenotrophomonas maltophilia,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas,7,0.0140264,0.315315
Stenotrophomonas sp. SKA14,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas,1,0.00200377,0.045045
Stigmatella aurantiaca,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;Stigmatella,1,0.00200377,0.045045
Streptococcus anginosus,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,1,0.00200377,0.045045
Streptococcus gallolyticus,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,1,0.00200377,0.045045
Streptococcus infantarius,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,3,0.0060113,0.135135
Streptococcus lutetiensis,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,2,0.00400753,0.0900901
